행정구역,시도,시군구,행정구,읍면동,행정구역코드,age_20,age_30,age_40,age_50,age_60,age_70
서울특별시 종로구 창신제1동,서울특별시,종로구,0,창신1동,1111067000,531,687,1151,987,828,681
서울특별시 종로구 창신제2동,서울특별시,종로구,0,창신2동,1111068000,912,1218,1864,1307,1166,1406
서울특별시 종로구 창신제3동,서울특별시,종로구,0,창신3동,1111069000,1003,989,1298,977,828,1126
서울특별시 종로구 숭인제1동,서울특별시,종로구,0,숭인1동,1111070000,862,968,1150,863,799,922
서울특별시 종로구 숭인제2동,서울특별시,종로구,0,숭인2동,1111071000,1521,1278,1705,1353,1127,1974
서울특별시 중구 신당제5동,서울특별시,중구,0,신당5동,1114065000,1752,1611,1854,1279,1192,1865
서울특별시 용산구 원효로제1동,서울특별시,용산구,0,원효로1동,1117056000,3668,2661,2160,1582,1310,2666
서울특별시 용산구 원효로제2동,서울특별시,용산구,0,원효로2동,1117057000,2117,2387,2342,1689,1669,2214
서울특별시 용산구 이촌제1동,서울특별시,용산구,0,이촌1동,1117063000,3842,5104,4452,2924,3301,3657
서울특별시 용산구 이촌제2동,서울특별시,용산구,0,이촌2동,1117064000,1512,1252,1408,1299,1224,1152
서울특별시 용산구 이태원제1동,서울특별시,용산구,0,이태원1동,1117065000,1107,916,1130,1048,1092,1065
서울특별시 용산구 이태원제2동,서울특별시,용산구,0,이태원2동,1117066000,1714,1392,1296,1189,1383,1474
서울특별시 성동구 왕십리제2동,서울특별시,성동구,0,왕십리2동,1120052000,3005,2732,2805,2049,1682,2882
서울특별시 성동구 행당제1동,서울특별시,성동구,0,행당1동,1120056000,2491,2364,2523,1835,1573,2804
서울특별시 성동구 행당제2동,서울특별시,성동구,0,행당2동,1120057000,3817,4266,3926,2687,2502,3584
서울특별시 성동구 성수1가제1동,서울특별시,성동구,0,성수1가1동,1120065000,2940,2515,3047,2034,1357,2943
서울특별시 성동구 성수1가제2동,서울특별시,성동구,0,성수1가2동,1120066000,2596,2226,2169,1703,1298,2470
서울특별시 성동구 성수2가제1동,서울특별시,성동구,0,성수2가1동,1120067000,2659,2475,3286,2510,1779,2721
서울특별시 성동구 성수2가제3동,서울특별시,성동구,0,성수2가3동,1120069000,2029,1525,1882,1460,1210,2231
서울특별시 광진구 중곡제1동,서울특별시,광진구,0,중곡1동,1121574000,2987,2289,2565,2051,1571,2982
서울특별시 광진구 중곡제2동,서울특별시,광진구,0,중곡2동,1121575000,4034,3142,3649,2706,2029,4317
