SIDO_DISTR,SIDO__DISTR,SIDO_NM,VOTE_POP,VOTE_CNT,VOTE_SPLT_POP,VOTE_SPLT_CNT,SCS_CD,SCS_PRT,CAN1,CAN1_PRT,CAN1_CNT,CAN2,CAN2_PRT,CAN2_CNT,CAN3,CAN3_PRT,CAN3_CNT,CAN4,CAN4_PRT,CAN4_CNT
경상북도김천시,경상북도_김천시,경상북도,118478,79166,39312,1325,송언석,국민의힘,황태성,더불어민주당,18079,송언석,국민의힘,51208,박건우,무소속,8554,0,0,0
경상북도상주시문경시,경상북도_상주시문경시,경상북도,144308,100195,44113,1568,임이자,국민의힘,이윤희,더불어민주당,18578,임이자,국민의힘,76583,김영선,새로운미래,3466,0,0,0
경상북도안동시예천군,경상북도_안동시예천군,경상북도,181285,122282,59003,2175,김형동,국민의힘,김상우,더불어민주당,34748,김형동,국민의힘,81040,김동훈,자유통일당,1991,김윤한,무소속,2328
경상북도영주시영양군봉화군,경상북도_영주시영양군봉화군,경상북도,129648,89122,40526,1864,임종득,국민의힘,박규환,더불어민주당,22933,임종득,국민의힘,64325,0,0,0,0,0,0
경상북도영천시청도군,경상북도_영천시청도군,경상북도,128322,88663,39659,1222,이만희,국민의힘,이영수,더불어민주당,17083,이만희,국민의힘,54987,김지미,무소속,766,이승록,무소속,726
경상북도의성군청송군영덕군울진군,경상북도_의성군청송군영덕군울진군,경상북도,141262,100262,41000,3669,박형수,국민의힘,박형수,국민의힘,80495,심태성,무소속,16098,0,0,0,0,0,0
경상북도포항시남구울릉군,경상북도_포항시남구울릉군,경상북도,203445,125801,77644,1941,이상휘,국민의힘,김상헌,더불어민주당,37120,이상휘,국민의힘,86740,0,0,0,0,0,0
경상북도포항시북구,경상북도_포항시북구,경상북도,228023,147747,80276,1371,김정재,국민의힘,오중기,더불어민주당,42311,김정재,국민의힘,91249,이재원,무소속,12816,0,0,0
광주광역시광산구갑,광주광역시_광산구갑,광주광역시,138064,91955,46109,1259,박균택,더불어민주당,박균택,더불어민주당,74102,김정현,국민의힘,6318,정형호,새로운미래,3145,정희성,진보당,5780
광주광역시광산구을,광주광역시_광산구을,광주광역시,186787,125638,61149,1146,민형배,더불어민주당,민형배,더불어민주당,94733,안태욱,국민의힘,5941,김용재,녹색정의당,1471,이낙연,새로운미래,17237
광주광역시동구남구갑,광주광역시_동구남구갑,광주광역시,136736,95225,41511,1779,정진욱,더불어민주당,정진욱,더불어민주당,82883,강현구,국민의힘,10563,0,0,0,0,0,0
광주광역시동구남구을,광주광역시_동구남구을,광주광역시,133090,93466,39624,1461,안도걸,더불어민주당,안도걸,더불어민주당,64558,박은식,국민의힘,7936,장도국,개혁신당,1531,김미화,진보당,3115
광주광역시북구갑,광주광역시_북구갑,광주광역시,158463,105423,53040,1521,정준호,더불어민주당,정준호,더불어민주당,86713,김정명,국민의힘,8856,김주업,진보당,6396,장경수,무소속,1937
광주광역시북구을,광주광역시_북구을,광주광역시,202572,140230,62342,1578,전진숙,더불어민주당,전진숙,더불어민주당,99993,양종아,국민의힘,9877,박병석,새로운미래,4674,김원갑,개혁신당,1444
광주광역시서구갑,광주광역시_서구갑,광주광역시,124977,83480,41497,1249,조인철,더불어민주당,조인철,더불어민주당,56267,하헌식,국민의힘,7498,강승철,진보당,4174,송영길,소나무당,14292
광주광역시서구을,광주광역시_서구을,광주광역시,118893,82488,36405,1194,양부남,더불어민주당,양부남,더불어민주당,58037,김윤,국민의힘,6360,강은미,녹색정의당,11922,최현수,개혁신당,1138
대구광역시달서구갑,대구광역시_달서구갑,대구광역시,134682,85493,49189,1355,유영하,국민의힘,권택흥,더불어민주당,24068,유영하,국민의힘,60070,0,0,0,0,0,0
대구광역시달서구병,대구광역시_달서구병,대구광역시,124723,76420,48303,2167,권영진,국민의힘,권영진,국민의힘,49816,최영오,진보당,11945,조원진,우리공화당,12492,0,0,0
대구광역시달서구을,대구광역시_달서구을,대구광역시,195189,129986,65203,1670,윤재옥,국민의힘,김성태,더불어민주당,35313,윤재옥,국민의힘,93003,0,0,0,0,0,0
대구광역시달성군,대구광역시_달성군,대구광역시,214642,135120,79522,1621,추경호,국민의힘,박형룡,더불어민주당,32955,추경호,국민의힘,100544,0,0,0,0,0,0
대구광역시동구군위군갑,대구광역시_동구군위군갑,대구광역시,145881,93619,52262,1572,최은석,국민의힘,신효철,더불어민주당,23484,최은석,국민의힘,68563,0,0,0,0,0,0
대구광역시동구군위군을,대구광역시_동구군위군을,대구광역시,174984,112292,62692,3462,강대식,국민의힘,강대식,국민의힘,82855,정은실,자유통일당,4785,황순규,진보당,21190,0,0,0
대구광역시북구갑,대구광역시_북구갑,대구광역시,152872,97906,54966,1597,우재준,국민의힘,박정희,더불어민주당,26266,우재준,국민의힘,68742,박진재,자유통일당,1301,0,0,0
대구광역시북구을,대구광역시_북구을,대구광역시,208180,130446,77734,1720,김승수,국민의힘,신동환,더불어민주당,32797,김승수,국민의힘,87356,황영헌,개혁신당,6529,신유성,무소속,2044
대구광역시서구,대구광역시_서구,대구광역시,149953,92428,57525,3332,김상훈,국민의힘,김상훈,국민의힘,64167,서중현,무소속,24929,0,0,0,0,0,0
대구광역시수성구갑,대구광역시_수성구갑,대구광역시,201088,137951,63137,1689,주호영,국민의힘,강민구,더불어민주당,41332,주호영,국민의힘,89440,김성년,녹색정의당,2970,김기현,무소속,2520
대구광역시수성구을,대구광역시_수성구을,대구광역시,143624,93492,50132,1809,이인선,국민의힘,이인선,국민의힘,66787,조대원,개혁신당,6768,오준호,새진보연합,14271,박경철,무소속,3857
대구광역시중구남구,대구광역시_중구남구,대구광역시,204639,127123,77516,2152,김기웅,국민의힘,허소,더불어민주당,32783,김기웅,국민의힘,72380,도태우,무소속,19808,0,0,0
대전광역시대덕구,대전광역시_대덕구,대전광역시,149618,97928,51690,1176,박정현,더불어민주당,박정현,더불어민주당,49273,박경호,국민의힘,41655,박영순,새로운미래,5824,0,0,0
대전광역시동구,대전광역시_동구,대전광역시,190412,122640,67772,1509,장철민,더불어민주당,장철민,더불어민주당,64597,윤창현,국민의힘,54527,정구국,개혁신당,2007,0,0,0
대전광역시서구갑,대전광역시_서구갑,대전광역시,212533,137017,75516,1539,장종태,더불어민주당,장종태,더불어민주당,71576,조수연,국민의힘,56136,안필용,새로운미래,3171,유지곤,무소속,4595
대전광역시서구을,대전광역시_서구을,대전광역시,183839,121359,62480,1658,박범계,더불어민주당,박범계,더불어민주당,65340,양홍규,국민의힘,51320,조동운,개혁신당,2414,이지훈,자유통일당,627
대전광역시유성구갑,대전광역시_유성구갑,대전광역시,159614,106967,52647,1226,조승래,더불어민주당,조승래,더불어민주당,60038,윤소식,국민의힘,43189,왕현민,개혁신당,2514,0,0,0
대전광역시유성구을,대전광역시_유성구을,대전광역시,144975,103752,41223,1032,황정아,더불어민주당,황정아,더불어민주당,61387,이상민,국민의힘,38209,김찬훈,새로운미래,3124,0,0,0
대전광역시중구,대전광역시_중구,대전광역시,195348,129803,65545,2122,박용갑,더불어민주당,박용갑,더불어민주당,66509,이은권,국민의힘,61172,0,0,0,0,0,0
부산광역시강서구,부산광역시_강서구,부산광역시,111554,76301,35253,548,김도읍,국민의힘,변성완,더불어민주당,33645,김도읍,국민의힘,42108,0,0,0,0,0,0
부산광역시금정구,부산광역시_금정구,부산광역시,192113,131316,60797,1979,백종헌,국민의힘,박인영,더불어민주당,56100,백종헌,국민의힘,73237,0,0,0,0,0,0
부산광역시기장군,부산광역시_기장군,부산광역시,146425,95134,51291,1034,정동만,국민의힘,최택용,더불어민주당,44852,정동만,국민의힘,49248,0,0,0,0,0,0
부산광역시남구,부산광역시_남구,부산광역시,223869,157215,66654,1784,박수영,국민의힘,박재호,더불어민주당,70868,박수영,국민의힘,84563,0,0,0,0,0,0
부산광역시동래구,부산광역시_동래구,부산광역시,230465,159032,71433,1820,서지영,국민의힘,박성현,더불어민주당,67941,서지영,국민의힘,85313,이재웅,개혁신당,3958,0,0,0
부산광역시부산진구갑,부산광역시_부산진구갑,부산광역시,160658,107785,52873,1412,정성국,국민의힘,서은숙,더불어민주당,50220,정성국,국민의힘,56153,0,0,0,0,0,0
부산광역시부산진구을,부산광역시_부산진구을,부산광역시,161857,101969,59888,1633,이헌승,국민의힘,이현,더불어민주당,44286,이헌승,국민의힘,53897,이종혁,자유통일당,2153,0,0,0
부산광역시북구갑,부산광역시_북구갑,부산광역시,121889,84012,37877,778,전재수,더불어민주당,전재수,더불어민주당,43548,서병수,국민의힘,38850,배기석,개혁신당,836,0,0,0
부산광역시북구을,부산광역시_북구을,부산광역시,117612,86348,31264,963,박성훈,국민의힘,정명희,더불어민주당,40499,박성훈,국민의힘,44886,0,0,0,0,0,0
부산광역시사상구,부산광역시_사상구,부산광역시,181823,121292,60531,1658,김대식,국민의힘,배재정,더불어민주당,56659,김대식,국민의힘,62975,0,0,0,0,0,0
부산광역시사하구갑,부산광역시_사하구갑,부산광역시,131310,88121,43189,996,이성권,국민의힘,최인호,더불어민주당,43216,이성권,국민의힘,43909,0,0,0,0,0,0
부산광역시사하구을,부산광역시_사하구을,부산광역시,130588,85087,45501,853,조경태,국민의힘,이재성,더불어민주당,35735,조경태,국민의힘,46855,신천우,무소속,1644,0,0,0
부산광역시서구동구,부산광역시_서구동구,부산광역시,172850,113781,59069,1831,곽규택,국민의힘,최형욱,더불어민주당,47066,곽규택,국민의힘,64884,0,0,0,0,0,0
부산광역시수영구,부산광역시_수영구,부산광역시,155728,103071,52657,1563,정연욱,국민의힘,유동철,더불어민주당,41088,정연욱,국민의힘,51092,장예찬,무소속,9328,0,0,0
부산광역시연제구,부산광역시_연제구,부산광역시,184060,127760,56300,2065,김희정,국민의힘,김희정,국민의힘,68402,노정현,진보당,57293,0,0,0,0,0,0
부산광역시중구영도구,부산광역시_중구영도구,부산광역시,132866,85495,47371,1128,조승환,국민의힘,박영미,더불어민주당,36739,조승환,국민의힘,46254,김영진,녹색정의당,1374,0,0,0
부산광역시해운대구갑,부산광역시_해운대구갑,부산광역시,185494,128242,57252,1119,주진우,국민의힘,홍순헌,더불어민주당,56717,주진우,국민의힘,68267,박주언,무소속,2139,0,0,0
부산광역시해운대구을,부산광역시_해운대구을,부산광역시,141382,94326,47056,1175,김미애,국민의힘,윤준호,더불어민주당,38811,김미애,국민의힘,54340,0,0,0,0,0,0
서울특별시강남구갑,서울특별시_강남구갑,서울특별시,156085,95785,60300,1455,서명옥,국민의힘,김태형,더불어민주당,33781,서명옥,국민의힘,60549,0,0,0,0,0,0
서울특별시강남구병,서울특별시_강남구병,서울특별시,143901,101634,42267,1169,고동진,국민의힘,박경미,더불어민주당,32908,고동진,국민의힘,66597,양한별,내일로미래로,960,0,0,0
서울특별시강남구을,서울특별시_강남구을,서울특별시,168269,123961,44308,1665,박수민,국민의힘,강청희,더불어민주당,50663,박수민,국민의힘,71633,0,0,0,0,0,0
서울특별시강동구갑,서울특별시_강동구갑,서울특별시,199231,148478,50753,1278,진선미,더불어민주당,진선미,더불어민주당,73791,전주혜,국민의힘,70489,김기수,개혁신당,2920,0,0,0
서울특별시강동구을,서울특별시_강동구을,서울특별시,198766,134883,63883,1603,이해식,더불어민주당,이해식,더불어민주당,71376,이재영,국민의힘,59551,정승우,개혁신당,2353,0,0,0
서울특별시강북구갑,서울특별시_강북구갑,서울특별시,132265,84693,47572,1353,천준호,더불어민주당,천준호,더불어민주당,47701,전상범,국민의힘,35639,0,0,0,0,0,0
서울특별시강북구을,서울특별시_강북구을,서울특별시,128295,85587,42708,1303,한민수,더불어민주당,한민수,더불어민주당,44623,박진웅,국민의힘,34989,이석현,새로운미래,4672,0,0,0
서울특별시강서구갑,서울특별시_강서구갑,서울특별시,168119,111747,56372,1333,강선우,더불어민주당,강선우,더불어민주당,64651,구상찬,국민의힘,42703,남평오,새로운미래,3060,0,0,0
서울특별시강서구병,서울특별시_강서구병,서울특별시,158668,106810,51858,1467,한정애,더불어민주당,한정애,더불어민주당,62297,김일호,국민의힘,43046,0,0,0,0,0,0
서울특별시강서구을,서울특별시_강서구을,서울특별시,171060,117702,53358,1747,진성준,더불어민주당,진성준,더불어민주당,63601,박민식,국민의힘,52354,0,0,0,0,0,0
서울특별시관악구갑,서울특별시_관악구갑,서울특별시,242617,160858,81759,3577,박민규,더불어민주당,박민규,더불어민주당,89778,유종필,국민의힘,67503,0,0,0,0,0,0
서울특별시관악구을,서울특별시_관악구을,서울특별시,204556,129706,74850,2467,정태호,더불어민주당,정태호,더불어민주당,73771,이성심,국민의힘,49418,이상규,진보당,4050,0,0,0
서울특별시광진구갑,서울특별시_광진구갑,서울특별시,150187,104311,45876,1325,이정헌,더불어민주당,이정헌,더불어민주당,54105,김병민,국민의힘,48881,0,0,0,0,0,0
서울특별시광진구을,서울특별시_광진구을,서울특별시,151508,105003,46505,1338,고민정,더불어민주당,고민정,더불어민주당,53362,오신환,국민의힘,49347,서정민,한국국민당,956,0,0,0
서울특별시구로구갑,서울특별시_구로구갑,서울특별시,205069,145719,59350,1873,이인영,더불어민주당,이인영,더불어민주당,80182,호준석,국민의힘,63664,0,0,0,0,0,0
서울특별시구로구을,서울특별시_구로구을,서울특별시,141985,97999,43986,1470,윤건영,더불어민주당,윤건영,더불어민주당,57788,태영호,국민의힘,38741,0,0,0,0,0,0
서울특별시금천구,서울특별시_금천구,서울특별시,207518,135444,72074,2332,최기상,더불어민주당,최기상,더불어민주당,78587,강성만,국민의힘,54525,0,0,0,0,0,0
서울특별시노원구갑,서울특별시_노원구갑,서울특별시,224187,158471,65716,2561,우원식,더불어민주당,우원식,더불어민주당,91986,현경병,국민의힘,63924,0,0,0,0,0,0
서울특별시노원구을,서울특별시_노원구을,서울특별시,211043,148121,62922,1626,김성환,더불어민주당,김성환,더불어민주당,85721,김준호,국민의힘,57515,이창영,무소속,3259,0,0,0
서울특별시도봉구갑,서울특별시_도봉구갑,서울특별시,136836,95437,41399,905,김재섭,국민의힘,안귀령,더불어민주당,45276,김재섭,국민의힘,46374,윤오,녹색정의당,2882,0,0,0
서울특별시도봉구을,서울특별시_도봉구을,서울특별시,138197,96488,41709,1135,오기형,더불어민주당,오기형,더불어민주당,50384,김선동,국민의힘,44969,0,0,0,0,0,0
서울특별시동대문구갑,서울특별시_동대문구갑,서울특별시,151861,103532,48329,1488,안규백,더불어민주당,안규백,더불어민주당,53978,김영우,국민의힘,45377,한승민,개혁신당,2689,0,0,0
서울특별시동대문구을,서울특별시_동대문구을,서울특별시,154549,108208,46341,1514,장경태,더불어민주당,장경태,더불어민주당,58286,김경진,국민의힘,48408,0,0,0,0,0,0
서울특별시동작구갑,서울특별시_동작구갑,서울특별시,180193,127106,53087,1610,김병기,더불어민주당,김병기,더불어민주당,63372,장진영,국민의힘,56498,전병헌,새로운미래,5626,0,0,0
서울특별시동작구을,서울특별시_동작구을,서울특별시,158571,117634,40937,1519,나경원,국민의힘,류삼영,더불어민주당,53395,나경원,국민의힘,62720,0,0,0,0,0,0
서울특별시마포구갑,서울특별시_마포구갑,서울특별시,139968,101086,38882,1009,조정훈,국민의힘,이지은,더불어민주당,47743,조정훈,국민의힘,48342,김혜미,녹색정의당,2033,김기정,개혁신당,1959
서울특별시마포구을,서울특별시_마포구을,서울특별시,182761,125262,57499,1860,정청래,더불어민주당,정청래,더불어민주당,64715,함운경,국민의힘,47848,장혜영,녹색정의당,10839,0,0,0
서울특별시서대문구갑,서울특별시_서대문구갑,서울특별시,130042,89949,40093,1506,김동아,더불어민주당,김동아,더불어민주당,44890,이용호,국민의힘,38466,이경선,개혁신당,5087,0,0,0
서울특별시서대문구을,서울특별시_서대문구을,서울특별시,141489,100604,40885,1347,김영호,더불어민주당,김영호,더불어민주당,57198,박진,국민의힘,42059,0,0,0,0,0,0
서울특별시서초구갑,서울특별시_서초구갑,서울특별시,154336,110606,43730,1305,조은희,국민의힘,김한나,더불어민주당,34488,조은희,국민의힘,74813,0,0,0,0,0,0
서울특별시서초구을,서울특별시_서초구을,서울특별시,189614,136711,52903,1669,신동욱,국민의힘,홍익표,더불어민주당,57404,신동욱,국민의힘,77638,0,0,0,0,0,0
서울특별시성북구갑,서울특별시_성북구갑,서울특별시,195813,135904,59909,1752,김영배,더불어민주당,김영배,더불어민주당,74707,이종철,국민의힘,52511,유승희,새로운미래,6934,0,0,0
서울특별시성북구을,서울특별시_성북구을,서울특별시,178667,123239,55428,2039,김남근,더불어민주당,김남근,더불어민주당,68872,이상규,국민의힘,52328,0,0,0,0,0,0
서울특별시송파구갑,서울특별시_송파구갑,서울특별시,151559,109367,42192,1176,박정훈,국민의힘,조재희,더불어민주당,48831,박정훈,국민의힘,56521,송재열,개혁신당,2839,0,0,0
서울특별시송파구병,서울특별시_송파구병,서울특별시,220956,159563,61393,2133,남인순,더불어민주당,남인순,더불어민주당,80358,김근식,국민의힘,77072,0,0,0,0,0,0
서울특별시송파구을,서울특별시_송파구을,서울특별시,191803,137090,54713,1569,배현진,국민의힘,송기호,더불어민주당,57990,배현진,국민의힘,77531,0,0,0,0,0,0
서울특별시양천구갑,서울특별시_양천구갑,서울특별시,195448,144597,50851,1413,"
황희",더불어민주당,황희,더불어민주당,71285,구자룡,국민의힘,68959,염동옥,무소속,2940,0,0,0
서울특별시양천구을,서울특별시_양천구을,서울특별시,175761,119993,55768,1738,이용선,더불어민주당,이용선,더불어민주당,67962,오경훈,국민의힘,50293,0,0,0,0,0,0
서울특별시영등포구갑,서울특별시_영등포구갑,서울특별시,193458,135823,57635,1663,채현일,더불어민주당,채현일,더불어민주당,73163,김영주,국민의힘,55913,허은아,개혁신당,5084,0,0,0
서울특별시영등포구을,서울특별시_영등포구을,서울특별시,141494,100141,41353,1196,김민석,더불어민주당,김민석,더불어민주당,49651,박용찬,국민의힘,48516,김정기,기후민생당,778,0,0,0
서울특별시용산구,서울특별시_용산구,서울특별시,188998,130243,58755,1651,권영세,국민의힘,강태웅,더불어민주당,60473,권영세,국민의힘,66583,김정현,무소속,1536,0,0,0
서울특별시은평구갑,서울특별시_은평구갑,서울특별시,219044,149155,69889,2115,박주민,더불어민주당,박주민,더불어민주당,89379,홍인정,국민의힘,57661,0,0,0,0,0,0
서울특별시은평구을,서울특별시_은평구을,서울특별시,195270,132329,62941,2028,김우영,더불어민주당,김우영,더불어민주당,74211,장성호,국민의힘,51612,김종민,녹색정의당,4478,0,0,0
서울특별시종로구,서울특별시_종로구,서울특별시,126041,88779,37262,970,곽상언,더불어민주당,곽상언,더불어민주당,44713,최재형,국민의힘,38752,진예찬,새로운미래,1080,금태섭,개혁신당,2835
서울특별시중구성동구갑,서울특별시_중구성동구갑,서울특별시,180528,125695,54833,1765,전현희,더불어민주당,전현희,더불어민주당,65204,윤희숙,국민의힘,58726,0,0,0,0,0,0
서울특별시중구성동구을,서울특별시_중구성동구을,서울특별시,177422,123087,54335,1611,박성준,더불어민주당,박성준,더불어민주당,61728,이혜훈,국민의힘,58961,김영기,한국국민당,787,0,0,0
서울특별시중랑구갑,서울특별시_중랑구갑,서울특별시,156202,99701,56501,1391,서영교,더불어민주당,서영교,더불어민주당,60881,김삼화,국민의힘,37429,0,0,0,0,0,0
서울특별시중랑구을,서울특별시_중랑구을,서울특별시,188139,129162,58977,1664,박홍근,더불어민주당,박홍근,더불어민주당,73600,이승환,국민의힘,53898,0,0,0,0,0,0
세종특별자치시세종특별자치시갑,세종특별자치시_세종특별자치시갑,세종특별자치시,171472,121921,49551,6700,김종민,새로운미래,류제화,국민의힘,49622,김종민,새로운미래,65599,0,0,0,0,0,0
세종특별자치시세종특별자치시을,세종특별자치시_세종특별자치시을,세종특별자치시,129759,89349,40410,1052,강준현,더불어민주당,강준현,더불어민주당,49621,이준배,국민의힘,33148,이태환,개혁신당,4104,박종채,한국국민당,174
울산광역시남구갑,울산광역시_남구갑,울산광역시,139853,95078,44775,2123,김상욱,국민의힘,전은수,더불어민주당,39687,김상욱,국민의힘,50066,이미영,새로운미래,2880,오호정,우리공화당,322
울산광역시남구을,울산광역시_남구을,울산광역시,123722,80138,43584,992,김기현,국민의힘,박성진,더불어민주당,34644,김기현,국민의힘,44502,0,0,0,0,0,0
울산광역시동구,울산광역시_동구,울산광역시,127134,84726,42408,881,김태선,더불어민주당,김태선,더불어민주당,38474,권명호,국민의힘,37906,이장우,노동당,7465,0,0,0
울산광역시북구,울산광역시_북구,울산광역시,176056,116665,59391,2045,윤종오,진보당,박대동,국민의힘,49155,윤종오,진보당,63188,박재묵,무소속,2277,0,0,0
울산광역시울주군,울산광역시_울주군,울산광역시,188440,126887,61553,1536,서범수,국민의힘,이선호,더불어민주당,58307,서범수,국민의힘,67044,0,0,0,0,0,0
울산광역시중구,울산광역시_중구,울산광역시,179055,121227,57828,1468,박성민,국민의힘,오상택,더불어민주당,52158,박성민,국민의힘,67601,0,0,0,0,0,0
인천광역시계양구갑,인천광역시_계양구갑,인천광역시,120600,79547,41053,944,유동수,더불어민주당,유동수,더불어민주당,45823,최원식,국민의힘,32780,0,0,0,0,0,0
인천광역시계양구을,인천광역시_계양구을,인천광역시,127351,90849,36502,1495,이재명,더불어민주당,이재명,더불어민주당,48365,원희룡,국민의힘,40616,최창원,내일로미래로,373,0,0,0
인천광역시남동구갑,인천광역시_남동구갑,인천광역시,208476,131127,77349,1626,맹성규,더불어민주당,맹성규,더불어민주당,73764,손범규,국민의힘,52139,장석현,개혁신당,3598,0,0,0
인천광역시남동구을,인천광역시_남동구을,인천광역시,215847,141973,73874,1669,이훈기,더불어민주당,이훈기,더불어민주당,76443,신재경,국민의힘,63861,0,0,0,0,0,0
인천광역시동구미추홀구갑,인천광역시_동구미추홀구갑,인천광역시,225741,140699,85042,1835,허종식,더불어민주당,허종식,더불어민주당,74618,심재돈,국민의힘,64246,0,0,0,0,0,0
인천광역시동구미추홀구을,인천광역시_동구미추홀구을,인천광역시,185368,117773,67595,1338,윤상현,국민의힘,남영희,더불어민주당,57705,윤상현,국민의힘,58730,0,0,0,0,0,0
인천광역시부평구갑,인천광역시_부평구갑,인천광역시,229074,141142,87932,2005,노종면,더불어민주당,노종면,더불어민주당,76797,유제홍,국민의힘,62340,0,0,0,0,0,0
인천광역시부평구을,인천광역시_부평구을,인천광역시,206143,139504,66639,1481,박선원,더불어민주당,박선원,더불어민주당,70896,이현웅,국민의힘,53487,김응호,녹색정의당,2241,홍영표,새로운미래,11399
인천광역시서구갑,인천광역시_서구갑,인천광역시,174282,111742,62540,1374,김교흥,더불어민주당,김교흥,더불어민주당,63564,박상수,국민의힘,44565,최인철,개혁신당,1215,최상진,무소속,1024
인천광역시서구병,인천광역시_서구병,인천광역시,179572,114220,65352,1175,모경종,더불어민주당,모경종,더불어민주당,65033,이행숙,국민의힘,44720,권상기,개혁신당,2622,이진기,자유민주당,670
인천광역시서구을,인천광역시_서구을,인천광역시,167373,108046,59327,1175,이용우,더불어민주당,이용우,더불어민주당,60423,박종진,국민의힘,46448,0,0,0,0,0,0
인천광역시연수구갑,인천광역시_연수구갑,인천광역시,166126,112907,53219,1053,박찬대,더불어민주당,박찬대,더불어민주당,58663,정승연,국민의힘,51546,이영자,무소속,1645,0,0,0
인천광역시연수구을,인천광역시_연수구을,인천광역시,156982,111081,45901,1060,정일영,더불어민주당,정일영,더불어민주당,56667,김기흥,국민의힘,53354,0,0,0,0,0,0
인천광역시중구강화군옹진군,인천광역시_중구강화군옹진군,인천광역시,218648,144127,74521,1547,배준영,국민의힘,조택상,더불어민주당,62582,배준영,국민의힘,78408,구본철,무소속,1590,0,0,0
전라남도고흥군보성군장흥군강진군,전라남도_고흥군보성군장흥군강진군,전라남도,151441,108016,43425,2879,문금주,더불어민주당,문금주,더불어민주당,95357,김형주,국민의힘,9780,0,0,0,0,0,0
전라남도나주시화순군,전라남도_나주시화순군,전라남도,154071,106264,47807,2048,신정훈,더불어민주당,신정훈,더불어민주당,74063,김종운,국민의힘,9560,안주용,진보당,20593,0,0,0
