SIDO_DISTR,SIDO__DISTR,SIDO_NM,VOTE_POP,VOTE_CNT,VOTE_SPLT_POP,VOTE_SPLT_CNT,SCS_CD,SCS_PRT,CAN1,CAN1_PRT,CAN1_CNT,CAN2,CAN2_PRT,CAN2_CNT,CAN3,CAN3_PRT,CAN3_CNT,CAN4,CAN4_PRT,CAN4_CNT
충청남도천안시병,충청남도_천안시병,충청남도,154083,97377,56706,1026,이정문,더불어민주당,이정문,더불어민주당,53189,이창수,국민의힘,40098,한정애,녹색정의당,1364,이성진,개혁신당,1700
충청남도천안시을,충청남도_천안시을,충청남도,182191,108070,74121,1296,이재관,더불어민주당,이재관,더불어민주당,58862,이정만,국민의힘,44628,전옥균,무소속,3284,0,0,0
충청남도홍성군예산군,충청남도_홍성군예산군,충청남도,154563,105363,49200,1348,강승규,국민의힘,양승조,더불어민주당,46972,강승규,국민의힘,57043,0,0,0,0,0,0
충청북도보은군옥천군영동군괴산군,충청북도_보은군옥천군영동군괴산군,충청북도,146169,105977,40192,1631,박덕흠,국민의힘,이재한,더불어민주당,49112,박덕흠,국민의힘,55234,0,0,0,0,0,0
충청북도제천시단양군,충청북도_제천시단양군,충청북도,139768,95411,44357,1286,엄태영,국민의힘,이경용,더불어민주당,39007,엄태영,국민의힘,46532,이근규,새로운미래,3991,권석창,무소속,4595
충청북도증평군진천군음성군,충청북도_증평군진천군음성군,충청북도,185137,116895,68242,1295,임호선,더불어민주당,임호선,더불어민주당,62370,경대수,국민의힘,53230,0,0,0,0,0,0
충청북도청주시상당구,충청북도_청주시상당구,충청북도,169036,109208,59828,1143,이강일,더불어민주당,이강일,더불어민주당,55602,서승우,국민의힘,49905,송상호,녹색정의당,1761,우근헌,무소속,797
충청북도청주시서원구,충청북도_청주시서원구,충청북도,161145,105939,55206,1416,이광희,더불어민주당,이광희,더불어민주당,54835,김진모,국민의힘,49688,0,0,0,0,0,0
충청북도청주시청원구,충청북도_청주시청원구,충청북도,158647,100091,58556,1342,송재봉,더불어민주당,송재봉,더불어민주당,52620,김수민,국민의힘,46129,0,0,0,0,0,0
충청북도청주시흥덕구,충청북도_청주시흥덕구,충청북도,231288,141730,89558,1925,이연희,더불어민주당,이연희,더불어민주당,72375,김동원,국민의힘,62334,김기영,개혁신당,5096,0,0,0
충청북도충주시,충청북도_충주시,충청북도,181005,119216,61789,1220,이종배,국민의힘,김경욱,더불어민주당,57682,이종배,국민의힘,60314,0,0,0,0,0,0
