"행정구역","2024년03월_계_총인구수","2024년03월_계_연령구간인구수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총인구수","2024년03월_남_연령구간인구수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총인구수","2024년03월_여_연령구간인구수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상"
"충청남도 서천군 화양면(4477032000)","2,095","2,095","36","42","71","91","142","254","520","440","412","87","0","1,026","1,026","18","24","49","52","91","139","276","199","162","16","0","1,069","1,069","18","18","22","39","51","115","244","241","250","71","0"
"충청남도 서천군 기산면(4477033000)","1,503","1,503","12","52","51","54","105","196","395","317","251","67","3","751","751","5","30","36","33","72","106","206","152","99","12","0","752","752","7","22","15","21","33","90","189","165","152","55","3"
"충청남도 서천군 한산면(4477034000)","2,359","2,359","43","93","89","96","184","337","549","445","438","85","0","1,119","1,119","26","47","48","56","107","186","259","216","151","23","0","1,240","1,240","17","46","41","40","77","151","290","229","287","62","0"
"충청남도 서천군 마산면(4477035000)","1,390","1,390","26","54","53","62","80","169","363","271","255","57","0","666","666","15","22","34","33","53","93","183","135","88","10","0","724","724","11","32","19","29","27","76","180","136","167","47","0"
"충청남도 서천군 시초면(4477036000)","1,194","1,194","23","30","53","46","72","160","303","226","235","44","2","582","582","11","17","32","28","42","89","156","110","80","16","1","612","612","12","13","21","18","30","71","147","116","155","28","1"
"충청남도 서천군 문산면(4477037000)","1,174","1,174","22","27","29","37","78","129","327","275","213","37","0","595","595","16","14","20","21","50","76","169","128","92","9","0","579","579","6","13","9","16","28","53","158","147","121","28","0"
"충청남도 서천군 판교면(4477038000)","1,962","1,962","30","53","76","60","107","259","553","439","308","76","1","959","959","12","25","41","36","64","140","282","230","109","20","0","1,003","1,003","18","28","35","24","43","119","271","209","199","56","1"
"충청남도 서천군 종천면(4477039000)","1,985","1,985","29","83","78","79","133","267","491","432","321","68","4","956","956","14","40","41","48","80","156","250","215","100","12","0","1,029","1,029","15","43","37","31","53","111","241","217","221","56","4"
"충청남도 서천군 비인면(4477040000)","2,828","2,828","61","72","135","144","168","458","803","555","345","86","1","1,412","1,412","41","42","89","85","98","256","412","258","115","16","0","1,416","1,416","20","30","46","59","70","202","391","297","230","70","1"
"충청남도 서천군 서면(4477041000)","4,072","4,072","146","207","227","218","404","693","1,034","666","406","70","1","2,098","2,098","65","101","139","130","265","394","535","305","146","18","0","1,974","1,974","81","106","88","88","139","299","499","361","260","52","1"
"충청남도 청양군 (4479000000)","30,023","30,023","944","2,005","2,391","1,781","2,705","4,836","6,865","4,451","3,406","631","8","15,371","15,371","477","1,069","1,448","981","1,553","2,760","3,540","2,180","1,185","176","2","14,652","14,652","467","936","943","800","1,152","2,076","3,325","2,271","2,221","455","6"
"충청남도 청양군 청양읍(4479025000)","10,176","10,176","482","1,091","1,321","827","1,221","1,595","1,745","1,081","669","140","4","5,205","5,205","241","566","799","435","635","847","882","517","239","42","2","4,971","4,971","241","525","522","392","586","748","863","564","430","98","2"
"충청남도 청양군 운곡면(4479031000)","2,038","2,038","31","76","124","75","124","332","550","341","326","59","0","1,021","1,021","18","40","75","44","75","181","301","152","115","20","0","1,017","1,017","13","36","49","31","49","151","249","189","211","39","0"
"충청남도 청양군 대치면(4479032000)","2,192","2,192","45","91","117","101","176","389","579","373","268","53","0","1,150","1,150","23","47","68","57","110","229","305","203","98","10","0","1,042","1,042","22","44","49","44","66","160","274","170","170","43","0"
"충청남도 청양군 정산면(4479033000)","3,404","3,404","119","238","229","231","319","577","773","504","346","68","0","1,770","1,770","51","139","143","137","184","328","399","243","120","26","0","1,634","1,634","68","99","86","94","135","249","374","261","226","42","0"
"충청남도 청양군 목면(4479034000)","1,459","1,459","34","69","79","68","101","254","389","222","202","41","0","769","769","18","40","52","40","66","149","211","111","73","9","0","690","690","16","29","27","28","35","105","178","111","129","32","0"
"충청남도 청양군 청남면(4479035000)","1,801","1,801","53","88","83","85","131","293","442","338","246","42","0","937","937","34","47","51","51","81","186","223","179","77","8","0","864","864","19","41","32","34","50","107","219","159","169","34","0"
"충청남도 청양군 장평면(4479036000)","2,208","2,208","59","95","104","83","172","335","557","425","339","37","2","1,131","1,131","28","48","62","42","119","199","292","206","129","6","0","1,077","1,077","31","47","42","41","53","136","265","219","210","31","2"
"충청남도 청양군 남양면(4479037000)","2,604","2,604","53","79","144","110","156","411","694","430","443","83","1","1,309","1,309","31","46","94","56","97","247","357","210","146","25","0","1,295","1,295","22","33","50","54","59","164","337","220","297","58","1"
"충청남도 청양군 화성면(4479038000)","2,073","2,073","29","100","98","86","146","326","559","375","292","62","0","1,062","1,062","15","54","61","53","87","200","282","188","100","22","0","1,011","1,011","14","46","37","33","59","126","277","187","192","40","0"
"충청남도 청양군 비봉면(4479039000)","2,068","2,068","39","78","92","115","159","324","577","362","275","46","1","1,017","1,017","18","42","43","66","99","194","288","171","88","8","0","1,051","1,051","21","36","49","49","60","130","289","191","187","38","1"
"충청남도 홍성군 (4480000000)","98,349","98,349","6,274","9,375","8,597","9,566","13,553","15,823","16,684","10,270","6,962","1,206","39","49,088","49,088","3,229","4,818","4,736","5,084","6,899","8,474","8,328","4,799","2,416","301","4","49,261","49,261","3,045","4,557","3,861","4,482","6,654","7,349","8,356","5,471","4,546","905","35"
"충청남도 홍성군 홍성읍(4480025000)","35,789","35,789","1,780","3,717","4,021","3,128","5,061","6,766","5,871","3,356","1,784","298","7","17,781","17,781","903","1,909","2,264","1,700","2,437","3,518","2,811","1,541","625","73","0","18,008","18,008","877","1,808","1,757","1,428","2,624","3,248","3,060","1,815","1,159","225","7"
